Player,Team,Position,Rk,Status,Barton,Harden,Opponent,FPts,FP/G,% Owned,#ERROR!,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO,GP
Nikola Jokic,DEN,"PF,C,Flx",12,ATL,ATL,ATL,,645.5,43.03,100%,0%,101,217,16,32,41,250,32,114,91,19,8,38,15
Tristan Thompson,CLE,"PF,C,Flx",36,ATL,ATL,ATL,BKN 54<br/>@CLE 55,563,35.19,94%,-1%,96,184,3,32,50,227,62,93,37,13,20,25,16
Bojan Bogdanovic,UTA,"SG,SF,PF,Flx",65,ATL,ATL,ATL,UTA 9<br/>@MIL 8,449.5,28.09,98%,-0.20%,109,236,46,49,56,313,10,53,32,11,4,40,16
RJ Barrett,NY,"SG,SF,Flx",68,ATL,ATL,ATL,,441,27.56,99%,-0.10%,92,223,17,41,83,242,22,68,57,22,7,43,16
Goran Dragic,MIA,"PG,SG,Flx",92,ATL,ATL,ATL,CHA 41<br/>@MIA 47,410,27.33,91%,-0.70%,73,162,33,47,63,226,4,42,73,9,4,38,15
Eric Paschall,GS,"SF,PF,Flx",95,ATL,ATL,ATL,OKC Mon 10:30PM,405,25.31,81%,2.90%,100,202,10,58,72,268,20,61,25,7,6,22,16
Isaiah Thomas,WAS,"PG,Flx",173,ATL,ATL,ATL,,298,24.83,78%,-2.70%,59,133,25,10,11,153,1,18,67,5,3,25,12
Darius Garland,CLE,"PG,Flx",187,ATL,ATL,ATL,BKN 54<br/>@CLE 55,273.5,16.09,59%,-4.70%,64,182,24,16,20,168,4,23,51,16,0,40,17
Kevin Knox,NY,"SF,PF,Flx",190,ATL,ATL,ATL,,268.5,15.79,47%,-4.30%,44,114,23,26,40,137,9,43,26,10,4,12,17
Taj Gibson,NY,"PF,C,Flx",216,ATL,ATL,ATL,,236,15.73,14%,0.10%,39,67,1,9,13,88,31,37,18,8,1,11,15
