Rank,Auction,player,Team,Gs,MPG,FGM,FGA,FG,FTM,FTA,FT,THREES,REB,AST,STL,BLK,TOV,PTS
1,$76,James Harden,HOU,76,36,9.9,22.1,44.6,8.7,10.1,86.3,4.3,6.7,8.5,1.7,0.7,4.7,32.7
2,$61,Anthony Davis,LAL,73,35,10.1,19.3,52.3,6.7,8.1,82.1,0.8,11.5,3.6,1.5,2.2,2.1,27.7
3,$60,Giannis Antetokounmpo,MIL,73,33,10.1,18.3,55.3,7.3,9.5,77.2,0.9,12.8,6.1,1.4,1.6,3.2,28.4
4,$58,Karl-Anthony Towns,MIN,77,33,8.7,16.1,53.8,4.9,5.6,87.1,1.8,12.5,3.3,0.9,1.5,2.8,24
5,$52,Stephen Curry,GSW,72,34.5,9.7,20.6,46.9,4.2,4.6,91.6,4.6,5.3,5.8,1.4,0.3,2.9,28.1
6,$51,Nikola Jokic,DEN,77,32,7.8,15.2,51.3,4.1,4.8,85.1,1.3,11,7,1.2,0.7,3,21
7,$51,Damian Lillard,POR,79,35.5,8.3,18.9,44.3,6.2,6.8,91.4,3.2,4.7,6.7,1.1,0.4,2.7,26.1
8,$40,Bradley Beal,WAS,78,36,9.1,19.4,46.7,4.2,5.1,80.7,2.9,4.7,5.2,1.3,0.6,2.7,25.1
9,$40,Joel Embiid,PHI,65,33.5,9.1,18.7,48.3,7.7,9.7,79.7,1.4,13.1,4.1,0.7,2,3.9,27.3
10,$37,LeBron James,LAL,72,34.8,9.2,18.1,51.1,4.6,6.7,68.9,2.1,8.3,8.3,1.2,0.6,3.8,25.1
11,$37,Kemba Walker,BOS,79,34,8,18.5,43.3,4.5,5.3,84.5,3.2,4,5.8,1.2,0.3,2.4,23.8
12,$35,Andre Drummond,DET,78,34,7.1,13.6,52.3,3.1,5.3,57.7,0,16.5,2,1.7,1.7,2.5,17.3
13,$35,Ben Simmons,PHI,78,35,7.7,13.4,57.5,3.5,5.8,60,0,8.9,8.4,1.6,0.9,3.6,18.9
14,$35,Donovan Mitchell,UTA,78,34,8.7,19.7,44.1,4.3,5.2,82.2,2.7,4.2,4.5,1.5,0.4,2.9,24.4
15,$35,Russell Westbrook,HOU,72,35,7.9,18.6,42.5,4.8,6.8,71.5,1.8,10.6,9.8,1.6,0.3,4.4,22.4
16,$34,Paul George,LAC,65,35,7.9,18.1,43.6,4.8,5.8,83.5,3.6,6.9,3.5,1.9,0.5,2.5,24.2
17,$33,Kyrie Irving,BRK,67,33,9.1,18.7,48.9,3.5,4,87.6,2.8,4.3,6.2,1.3,0.4,2.5,24.5
18,$32,Zion Williamson,NOP,72,33,8.7,16,54.8,3.2,4.9,66.1,0.7,8.4,2.9,1.9,1,2.1,21.4
19,$32,Kawhi Leonard,LAC,62,33,8.9,18.1,49.3,5.8,6.8,84.8,2.4,6.5,3.6,1.7,0.5,2.1,26
20,$32,Trae Young,ATL,77,33,7.4,17.4,42.5,4.9,5.9,83.6,2.3,4,9.1,1,0.2,3.9,22
21,$31,Jrue Holiday,NOP,74,34,7.2,15.5,46.5,2.4,3.1,75.5,1.7,4.7,7.4,1.5,0.8,2.7,18.5
22,$30,Chris Paul,OKC,65,32,5.6,12.9,43,3.2,3.6,89.2,2.4,5.1,8.1,1.9,0.3,2.5,16.8
23,$30,Devin Booker,PHO,70,34.5,9.1,20.2,45.4,5.9,6.7,87.6,2.4,4.1,5.9,0.9,0.3,3.6,26.6
24,$30,Nikola Vucevic,ORL,72,31.5,8,16.2,49.5,1.9,2.4,77.5,1.2,11.2,3.8,1,1,2,19.1
25,$30,De'Aaron Fox,SAC,78,33,7.1,15.5,46,3.6,4.9,74.5,1.2,3.7,7.6,1.7,0.5,2.9,19
26,$28,Jimmy Butler,MIA,70,35,6.5,14.5,45.1,5,5.9,85.1,1.2,5.2,4.3,1.9,0.5,1.6,19.2
27,$28,Luka Doncic,DAL,72,34.5,8,18.2,44.1,5.6,7.9,71.8,2.8,8.6,6.9,1.2,0.4,3.6,24.5
28,$27,Deandre Ayton,PHO,72,32.5,8.6,14.6,58.6,2.6,3.3,77.1,0,10.7,2.2,0.9,0.9,2,19.7
29,$27,Tobias Harris,PHI,80,34,7,14.8,47.4,2.6,3.1,85.5,2.4,7.2,2.6,0.8,0.4,1.6,19.1
30,$26,Draymond Green,GSW,73,33.5,3.2,7.2,43.7,1.5,2.1,72.4,1.1,7.6,7.2,1.6,1.2,2.8,8.9
31,$26,Pascal Siakam,TOR,78,33,6.9,13.1,52.4,3.1,3.9,78,1.1,6.7,3.1,1,0.8,1.8,17.9
32,$26,John Collins,ATL,70,32,8.1,14.2,57.3,3.6,4.8,75.5,0.9,10.5,2.4,0.7,1,2.2,20.8
33,$26,D'Angelo Russell,GSW,71,32.5,8.4,19.5,42.9,2.6,3.3,78.9,2.9,4.3,7.1,1.3,0.3,3.2,22.3
34,$26,Jaren Jackson,MEM,70,32.5,6.9,13.4,51.1,3.8,4.8,77.8,1.4,5.9,1.6,1.1,1.9,2.1,18.8
35,$26,Jayson Tatum,BOS,78,33,6.4,13.8,46.2,2.9,3.4,85.8,1.8,6.2,2.3,1.2,0.8,1.7,17.4
36,$25,Myles Turner,IND,75,30,5.4,11,49.1,2.4,3.1,77.7,1,7.2,1.7,0.8,2.4,1.5,14.2
37,$24,DeMar DeRozan,SAS,77,33,7.5,15.9,47.5,4.8,5.8,83.3,0.6,5.5,5.5,1.1,0.4,2.3,20.5
38,$24,Eric Bledsoe,MIL,73,30,6,12.5,48,3.2,4.1,78.3,1.5,4.5,5.3,1.6,0.5,2.6,16.7
39,$24,Rudy Gobert,UTA,71,32,5.7,8.7,65,4,6,65.8,0,12.3,1.9,0.8,2.3,1.8,15.3
40,$23,Thomas Bryant,WAS,76,28,6.4,10.6,59.8,2.3,2.9,78.6,0.7,8.9,1.9,0.6,1.1,1.2,15.7
41,$23,Khris Middleton,MIL,76,31,6.1,13.8,44,2.9,3.3,86.6,2.2,5.7,4.2,1.2,0.2,2.2,17.2
42,$22,Clint Capela,HOU,70,32.5,7.7,11.9,64.9,2.4,4,60.6,0,12,1.3,0.8,1.5,1.6,17.8
43,$22,Mike Conley,UTA,70,32,6.5,15.1,43.1,4.6,5.4,85.2,2.3,3.2,5.8,1.2,0.3,1.8,19.9
44,$21,LaMarcus Aldridge,SAS,75,32,7.9,15.8,50.1,3.6,4.4,82.7,0.3,8.5,2.2,0.6,1.2,1.5,19.7
45,$21,Kristaps Porzingis,DAL,67,30.5,7.1,16,44.1,3.7,4.6,80.2,2,7.1,1.4,0.7,2.2,1.9,19.9
46,$21,Shai Gilgeous-Alexander,OKC,78,30.5,5.3,11,48.1,2.7,3.2,83.1,0.9,3.1,4.2,1.5,0.7,2,14.2
47,$21,Buddy Hield,SAC,79,31,6.7,14.8,45.2,1.5,1.8,88,3,4.8,2.5,0.9,0.3,1.8,17.9
48,$20,Kyle Lowry,TOR,67,33,4.8,11.5,41.7,2.6,3.2,83.3,2.5,5,8.1,1.2,0.4,2.6,14.8
49,$20,Julius Randle,NYK,74,32,7.6,14.2,53.4,4.7,6.3,74.7,0.6,9.1,3.4,0.7,0.6,2.7,20.5
