R#,player,POS,TEAM,GP,MPG,FG%,FGM,FGA,FT%,FTM,FTA,THREES,PTS,DREB,OREB,TREB,AST,STL,BLK,TO,TOTAL
1,Anthony Davis,PF,LAL,74,36,0.52,10,19.3,0.82,6.6,8.1,1,27.7,8.8,2.6,11.3,3.5,1.7,2.6,2.2,19.72
2,Giannis Antetokounmpo,PF,MIL,72,33,0.57,10.2,18.1,0.74,7.3,9.8,0.9,28.7,10.9,2.3,13.2,6.2,1.3,1.6,3.4,18.11
3,Karl-Anthony Towns,C,MIN,79,33,0.52,9.3,18,0.85,5.2,6.1,1.9,25.6,9,3.5,12.4,3.6,0.9,1.7,3.1,17.81
4,Joel Embiid,C,PHI,66,32,0.49,9.1,18.6,0.81,8.2,10.2,1.2,27.6,11.1,2.5,13.6,3.7,0.7,1.9,3.3,16.11
5,Nikola Jokic,C,DEN,78,32,0.51,8.3,16.2,0.82,3.9,4.7,1.1,21.6,8.6,3.1,11.7,7.8,1.4,0.8,3.2,15.55
6,James Harden,SG,HOU,78,36,0.45,9.4,21.1,0.87,8.9,10.2,3.9,31.7,5,0.6,5.6,6.8,2.1,0.7,4.4,14.99
7,Andre Drummond,C,DET,78,34,0.54,7.6,14.2,0.6,3.3,5.5,0.1,18.6,10.7,5.4,16,1.5,1.7,1.9,2.2,14.83
8,Stephen Curry,PG,GSW,76,35,0.48,10.1,21.1,0.91,4.2,4.6,5.6,29.8,5.1,0.8,5.9,5.7,1.5,0.4,2.9,14.45
9,Rudy Gobert,C,UTA,77,32,0.67,6.3,9.3,0.64,4.4,6.8,0,16.9,9.5,4,13.5,2.1,0.8,2.4,1.6,12.86
10,Paul George,PF,LAC,66,35,0.45,7.7,17,0.84,5.1,6.1,3.8,24.2,6.8,1.4,8.2,4.1,2,0.4,2.6,12.22
11,Nikola Vucevic,C,ORL,78,32,0.49,8.3,17.1,0.79,2.4,3,1.2,20.1,9.2,2.9,12.1,4.1,1,1.2,2,12.19
12,Kawhi Leonard,SF,LAC,68,34,0.5,8,16,0.86,6,7.1,2,24.1,5.6,1.4,7,3.5,1.8,0.6,2,11.2
13,John Collins,PF,ATL,72,32,0.55,8.6,15.4,0.76,3.7,4.9,1,21.8,6.8,4,10.9,2,0.5,1.1,2.4,10.96
14,LeBron James,PG,LAL,74,36,0.51,9.9,19.4,0.71,5,7.1,2.1,26.9,7.6,1.1,8.7,8.8,1.3,0.6,3.7,10.82
15,Deandre Ayton,C,PHO,72,32,0.56,8.5,15.3,0.76,2.4,3.2,0,19.5,7.8,3.2,11,2,0.9,1.3,1.9,10.59
16,Jimmy Butler,SF,MIA,72,33,0.46,7.6,16.4,0.86,5.4,6.3,1.6,22.2,4.3,1.9,6.1,5.1,1.9,0.7,1.4,10.18
17,Mitchell Robinson,C,NYK,76,26,0.63,4.8,7.7,0.64,1.7,2.7,0,11.3,5.9,3.6,9.4,0.8,1,2.8,0.9,9.22
18,Clint Capela,C,HOU,72,33,0.65,6.4,9.8,0.64,2.6,4,0,15.3,7,3.8,10.8,1.4,0.7,1.7,1.4,9.05
19,Damian Lillard,PG,POR,80,36,0.44,9.1,20.4,0.91,6.2,6.8,3.2,27.6,3,0.8,3.8,7,1.1,0.4,2.6,9.02
20,Bradley Beal,SG,WAS,78,36,0.47,10.2,21.7,0.8,4.5,5.6,2.6,27.4,4.3,1.1,5.4,5.6,1.5,0.7,2.6,8.53
21,Hassan Whiteside,C,POR,69,28,0.55,6,11.1,0.61,1.9,3.1,0,14,8,3.5,11.6,1,0.7,2.3,1.6,8.49
22,Bam Adebayo,C,MIA,80,30,0.55,5.8,10.6,0.74,2.7,3.7,0,14.4,7.4,2.7,10.1,3,1.2,1.3,1.9,8.14
23,LaMarcus Aldridge,PF,SAS,76,33,0.51,8.1,16,0.85,4.5,5.3,0.1,20.8,6.1,2.8,8.9,2.1,0.5,1.2,1.8,7.94
24,Russell Westbrook,PG,HOU,74,36,0.44,8.1,18.2,0.71,3.3,4.7,1.7,21.2,7.1,1.3,8.4,8.2,1.9,0.5,4.1,7.69
25,Kyrie Irving,PG,BKN,68,33,0.47,9.5,20.2,0.87,3.4,3.9,2.7,25.1,3.1,0.8,3.9,7.2,1.4,0.4,2.6,7.55
26,Thomas Bryant,C,WAS,76,30,0.56,6,10.7,0.78,2.3,2.9,0.8,15.1,7.1,2.4,9.5,2,0.4,1.4,1.2,7.5
27,Ben Simmons,PG,PHI,78,34,0.56,7.1,12.8,0.62,3.5,5.6,0,17.8,6.6,2.2,8.8,8.7,1.5,0.9,3.5,7.35
28,Derrick Favors,C,NOR,76,30,0.54,6.5,12.2,0.69,2.7,4,0.3,16.1,6.4,2.9,9.3,1.6,0.9,1.9,1.4,7.33
29,Myles Turner,C,IND,76,30,0.48,5.6,11.7,0.74,2.2,3,1.1,14.6,6.4,1.5,7.9,1.8,0.8,2.8,1.5,7.21
30,Jonas Valanciunas,C,MEM,72,28,0.55,6.1,11,0.79,4,5,0.4,16.5,7.8,1.9,9.7,1.8,0.5,1.5,2.4,7.17
31,Steven Adams,C,OKC,78,33,0.57,6.3,10.9,0.5,1.9,3.7,0,14.4,6.5,4.8,11.3,1.7,1.5,1,1.7,7.13
32,Kevin Love,PF,CLE,60,28,0.44,5.2,11.8,0.91,5.1,5.6,2.6,18.2,7.7,1.4,9.2,2.4,0.3,0.3,2,7.05
33,Marvin Bagley III,PF,SAC,72,30,0.51,7.5,14.8,0.72,3.8,5.3,0.6,19.5,6.5,3.4,10,1.5,0.6,1.2,1.9,6.72
34,Domantas Sabonis,PF,IND,76,30,0.56,6.1,11.1,0.72,3.6,5,0.1,16,8.1,2.7,10.8,3.7,0.8,0.5,2.7,6.65
35,Pascal Siakam,PF,TOR,78,34,0.52,7.1,13.6,0.79,3.4,4.3,1.1,18.8,6,1.8,7.7,3.5,1,0.7,2,6.63
36,Luka Doncic,SF,DAL,74,34,0.44,7.8,17.7,0.74,5.3,7.2,2.6,23.5,7,1.3,8.3,6.7,1.2,0.3,3.6,6.49
37,Lauri Markkanen,PF,CHI,68,32,0.43,6.9,15.9,0.87,3.4,4,2.4,19.6,8,1.5,9.5,1.5,0.7,0.6,1.6,6.48
38,Jrue Holiday,SG,NOR,73,34,0.47,8.6,18.4,0.78,3.1,4,1.8,22.1,4,1.1,5.1,6.5,1.5,0.8,3,6.3
39,Draymond Green,PF,GSW,74,33,0.45,4.1,9.1,0.72,1.1,1.6,1,10.3,6.7,1,7.7,7.6,1.5,1.2,2.7,6.14
40,Larry Nance Jr.,PF,CLE,68,28,0.52,4.1,7.8,0.7,1.5,2.2,0.6,10.3,6.3,2.7,9,3.5,1.6,0.7,1.5,6.14
41,Kristaps Porzingis,PF,DAL,62,30,0.45,6.8,15.2,0.79,4.4,5.5,1.9,19.9,6.3,1.3,7.6,1.2,0.7,1.9,1.8,6.1
42,Devin Booker,SG,PHO,71,35,0.47,9.4,20.1,0.86,6.4,7.5,2.2,27.5,3.7,0.6,4.3,5.7,0.9,0.2,3.7,6.05
43,Tobias Harris,SF,PHI,80,34,0.47,7.1,15,0.87,3.3,3.8,2,19.4,7.2,0.8,8,2.9,0.8,0.5,1.8,6.01
