nba_team,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,playoff_total
ATL,2,3,4,4,3,4,3,4,3,3,3,4,3,4,3,4,2,2,4,3,3,4,3,3,3,1,13
BOS,3,2,3,4,3,4,2,3,3,3,3,4,4,4,3,4,2,2,3,4,4,3,4,3,3,2,15
BKN,3,3,3,3,4,4,3,3,3,2,3,4,3,4,3,3,2,2,4,4,4,2,4,4,3,2,14
CHA,3,3,4,3,4,4,4,4,4,2,3,4,2,2,3,3,2,2,4,3,4,3,3,4,3,2,13
CHI,3,4,3,3,4,3,4,4,3,2,3,4,4,4,4,2,1,3,2,4,4,3,3,3,3,2,14
CLE,2,4,3,3,4,3,3,4,3,3,4,3,4,3,4,3,1,2,4,4,3,3,3,4,3,2,13
DAL,3,3,3,3,4,3,4,2,4,3,3,4,3,3,4,4,2,2,4,4,3,4,3,3,2,2,14
DEN,2,4,3,3,3,2,4,4,3,4,3,4,3,4,4,3,2,2,3,3,4,3,3,4,3,2,13
DET,3,4,3,3,3,4,3,3,4,3,4,3,3,4,4,4,2,2,3,3,2,3,4,3,3,2,12
GSW,2,4,4,4,3,4,3,4,2,4,3,4,3,3,3,3,2,2,4,3,3,4,3,3,3,2,13
HOU,2,4,3,4,4,2,3,4,3,4,2,3,3,4,4,4,1,2,3,4,3,3,4,3,4,2,14
IND,2,4,4,3,2,4,4,4,3,3,3,3,4,4,2,4,2,2,3,4,2,3,4,4,3,2,13
LAC,3,4,2,4,4,4,3,4,4,2,4,2,3,4,3,4,2,1,4,3,3,3,4,3,3,2,13
LAL,3,3,3,4,3,4,4,3,3,3,3,3,3,4,3,3,2,2,4,3,3,4,3,4,3,2,13
MEM,3,2,4,4,2,4,3,4,4,4,3,3,2,4,3,4,1,2,4,4,3,4,3,4,2,2,14
MIA,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,4,2,2,4,4,3,3,3,4,3,2,13
MIL,2,4,4,2,4,4,3,4,4,3,3,4,3,2,3,3,2,2,4,4,3,3,4,3,4,1,14
MIN,3,2,4,4,3,3,3,3,3,3,4,3,4,4,2,3,2,2,4,4,3,4,3,4,3,2,14
NOP,3,3,3,4,4,3,3,4,3,4,2,4,3,4,3,3,2,2,3,4,3,4,3,3,3,2,14
NYK,3,4,3,3,4,3,3,4,3,3,3,4,3,4,3,4,1,1,4,4,3,3,4,3,3,2,14
OKC,3,3,4,2,3,4,3,3,4,3,3,4,4,4,3,3,2,2,3,4,3,3,3,4,3,2,13
ORL,2,4,4,3,2,4,3,4,3,3,4,3,4,4,2,4,2,1,4,4,3,3,4,3,3,2,14
PHI,2,3,4,4,3,4,4,4,3,4,2,3,4,3,3,4,1,2,4,3,2,4,4,3,3,2,13
PHX,3,3,3,2,5,2,4,3,4,3,4,3,3,4,3,4,2,2,4,3,2,3,4,4,3,2,12
POR,3,3,4,3,4,3,4,2,4,3,4,3,4,3,3,4,2,2,3,4,3,3,4,3,2,2,14
SAC,3,4,2,3,3,3,4,4,3,4,3,3,3,3,4,3,2,2,4,4,2,4,3,4,3,2,13
SAS,2,4,3,4,4,4,2,2,3,3,3,4,3,4,3,4,2,2,2,4,3,4,4,3,4,2,15
TOR,3,3,3,3,3,4,3,3,4,4,3,3,3,4,4,3,2,2,3,3,2,4,3,4,4,2,12
UTA,3,4,2,3,4,4,3,3,3,3,3,4,3,3,4,3,2,2,3,4,4,4,3,4,2,2,15
WAS,3,2,3,3,3,4,4,2,4,3,4,4,2,4,3,3,2,2,4,4,3,4,4,3,3,2,15
