botb_position,player,botb_2019,botb_2020,botb_2021,botb_2022,botb_2023,botb_rfa,botb_gleague,nba_team,trade_comp,draft_selection,botb_team_start2019,botb_team
SF,Cam Reddish,"4,245,720","4,458,000","4,670,160","5,954,454",,2023,0,ATL,,,ATL,ATL
PF,Larry Nance Jr.,"12,727,273","11,709,091","10,690,909","9,672,727",,,0,CLE,,,ATL,ATL
2,Tyler Herro,"3,640,200","3,822,240","4,004,280","5,722,116",,2023,0,MIA,,,ATL,ATL
SF,Kelly Oubre Jr.,"15,625,000","14,375,000",,,,,0,PHX,,,ATL,ATL
PF,Jaren Jackson Jr.,"6,927,480","7,257,360","9,180,560",,,2022,0,MEM,,,ATL,ATL
PF,Marvin Bagley III,"8,556,120","8,963,640","11,312,114",,,2022,0,SAC,,22,ATL,ATL
PF,Alen Smailagic,"898,310","1,517,981","1,782,621","1,930,681",,,0,GSW,,,ATL,ATL
C,Mfiondu Kabengele,"1,977,000","2,075,880","2,174,880","3,923,484",,2023,0,LAC,,,ATL,ATL
PG,De'Anthony Melton,"1,416,852",,,,,2020,0,MEM,,,ATL,ATL
SG,Terrance Ferguson,"2,475,840","3,944,013",,,,2021,0,OKC,,,ATL,ATL
SG,Sviatoslav Mykhailiuk,"1,416,852",,"2,079,826",,,2020,0,DET,,,ATL,ATL
SG,Kevin Huerter,"2,636,280","2,761,920","4,253,357",,,2022,0,ATL,,,BKN,BKN
PG,Kyrie Irving,"30,000,000","30,000,000","30,000,000","30,000,000",,,0,BKN,,28,BKN,BKN
C,Enes Kanter,"4,767,000","5,005,350",,,,,0,BOS,,,BKN,BKN
C,Domantas Sabonis,"3,529,555",,,,,2020,0,IND,,,BKN,BKN
SG,Wesley Matthews,"2,564,753","2,692,991",,,,,0,MIL,,,BKN,BKN
SF,Danilo Gallinari,"22,615,559",,,,,,0,OKC,,,BKN,BKN
PF,Pascal Siakam,"2,351,839",,,,,2020,0,TOR,,20,BKN,BKN
PG,T.J. McConnell,"3,500,000","3,500,000",,,,,0,IND,,,BKN,BKN
C,Kelly Olynyk,"12,667,886","13,198,244",,,,,0,MIA,,,BKN,BKN
SG,Bogdan Bogdanovic,"8,529,386",,,,,2020,0,SAC,,,BKN,BKN
