Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FG-,3PTM,FTM,FT-,PTS,OREB,DREB,AST,ST,BLK,TO
James Harden,HOU,"PG,SG,SF,Flx",1,HOU,HOU,,2248,53.52,100%,0%,42,561,200,451,74,"1,539",46,216,309,69,37,195
Giannis Antetokounmpo,MIL,"SF,PF,Flx",2,CHI,CHI,,2036,48.48,100%,0%,42,373,69,262,170,"1,259",96,444,235,48,44,151
LeBron James,LAL,"PG,SF,PF,Flx",3,CLE,CLE,@BKN Thu 8:00PM,1893.75,45.09,100%,0%,42,418,87,159,70,"1,056",43,276,454,57,20,160
Luka Doncic,DAL,"PG,SF,Flx",4,GSW,GSW,@POR Thu 10:30PM,1887.5,48.4,100%,0%,39,422,116,282,81,"1,136",57,322,350,40,7,168
Damian Lillard,POR,"PG,Flx",5,PHX,PHX,DAL Thu 10:30PM,1809,42.07,100%,0%,43,465,154,296,38,"1,200",20,158,326,42,15,120
Trae Young,ATL,"PG,Flx",6,LAL,LAL,,1703.5,42.59,100%,0.10%,40,461,139,282,54,"1,167",24,161,345,47,5,192
Anthony Davis,LAL,"PF,C,Flx",7,LAL,LAL,@BKN Thu 8:00PM,1661.75,44.91,100%,0%,37,336,39,266,41,985,80,258,120,56,94,87
Nikola Jokic,DEN,"PF,C,Flx",8,DEN,DEN,,1645,37.39,100%,0%,44,319,56,136,38,854,104,336,283,43,25,122
Andre Drummond,DET,"PF,C,Flx",9,NOP,NOP,,1600.75,38.11,100%,0%,42,263,1,129,86,726,185,474,115,88,74,152
Ben Simmons,PHI,"PG,SF,Flx",10,CHA,CHA,,1569.75,35.68,99%,0%,44,210,2,126,87,704,86,258,372,95,29,152
Zach LaVine,CHI,"PG,SG,SF,Flx",11,SEA,SEA,,1532.25,33.31,100%,0.10%,46,496,141,214,45,"1,149",32,186,177,66,22,147
Devin Booker,PHO,"PG,SG,Flx",12,POR,POR,,1526.75,37.24,100%,0%,41,363,76,262,23,"1,088",24,143,258,33,9,159
Domantas Sabonis,IND,"PF,C,Flx",13,BRK,BRK,,1487.5,35.42,100%,0.10%,42,262,11,135,53,752,145,396,182,32,24,113
Brandon Ingram,NO,"SG,SF,PF,Flx",14,IND,IND,,1485.5,37.14,99%,0%,40,394,99,220,38,"1,021",36,229,172,37,32,121
Rudy Gobert,UTA,"C,Flx",15,ATL,ATL,,1484.25,35.34,100%,0.10%,42,118,0,147,91,655,154,454,70,31,82,79
Bam Adebayo,MIA,"PF,C,Flx",16,CHI,CHI,,1474.75,33.52,100%,0%,44,188,1,163,75,696,114,346,202,53,50,124
Russell Westbrook,HOU,"PG,Flx",17,MIL,MIL,,1464.5,39.58,99%,0.10%,37,443,39,184,55,937,61,240,271,60,13,160
Hassan Whiteside,POR,"C,Flx",18,MIA,MIA,DAL Thu 10:30PM,1459.75,35.6,99%,0%,41,182,2,111,39,637,166,414,51,15,124,82
Jimmy Butler,MIA,"SG,SF,Flx",19,SAS,SAS,,1458.75,38.39,100%,-0.10%,38,282,26,301,62,771,73,192,247,70,22,91
DeMar DeRozan,SA,"SG,SF,Flx",20,DEN,DEN,,1458.25,33.91,99%,-0.10%,43,320,8,227,43,965,28,212,224,46,12,108
Chris Paul,OKC,"PG,Flx",21,ATL,ATL,,1414.25,31.43,97%,0.10%,45,289,74,161,19,767,14,211,288,72,6,92
Donovan Mitchell,UTA,"PG,SG,Flx",22,SAS,SAS,,1401,32.58,100%,0%,43,457,101,173,29,"1,060",33,149,182,48,11,103
Kawhi Leonard,LAC,"SG,SF,Flx",23,CLE,CLE,,1399.75,41.17,100%,0%,34,374,65,206,26,923,37,214,169,68,21,110
Devonte Graham,CHA,"PG,SG,Flx",24,PHX,PHX,,1392.25,30.94,90%,0%,45,436,164,147,31,837,36,128,345,39,13,134
Bradley Beal,WAS,"SG,Flx",25,NOP,NOP,@CLE Thu 7:00PM,1373.75,38.16,99%,-0.20%,36,426,88,219,42,991,37,129,227,36,11,118
Jayson Tatum,BOS,"SF,PF,Flx",26,IND,IND,,1335,31.79,100%,0%,42,431,101,138,26,903,42,248,120,58,35,90
Tobias Harris,PHI,"SF,PF,Flx",27,SAS,SAS,,1334.75,29.02,98%,-0.10%,46,381,82,111,28,889,33,274,136,37,28,70
Shai Gilgeous-Alexander,OKC,"PG,SG,Flx",28,LAL,LAL,,1327,29.49,99%,0%,45,361,53,186,40,889,32,239,137,57,23,87
LaMarcus Aldridge,SA,"PF,C,Flx",29,MIA,MIA,,1313.25,32.03,99%,0.10%,41,300,49,125,23,796,84,222,98,25,72,58
Spencer Dinwiddie,BKN,"PG,SG,Flx",30,UTH,UTH,LAL Thu 8:00PM,1303.75,31.04,97%,-0.40%,42,420,81,229,66,916,17,118,268,30,14,122
Joel Embiid,PHI,"PF,C,Flx",31,PHI,PHI,,1269,40.94,100%,0%,31,266,38,211,41,725,79,303,102,25,42,93
Julius Randle,NY,"PF,C,Flx",32,MIN,MIN,,1256.5,29.22,100%,0%,43,369,52,160,65,810,95,299,142,34,9,126
Montrezl Harrell,LAC,"PF,C,Flx",33,SAS,SAS,,1252.75,28.47,100%,0.10%,44,259,0,161,95,853,124,191,77,31,48,84
Kemba Walker,BOS,"PG,Flx",34,HOU,HOU,,1224,32.21,99%,0%,38,351,129,138,22,825,30,121,189,35,23,83
Lou Williams,LAC,"PG,SG,Flx",35,LAC,LAC,,1219.5,29.04,100%,0%,42,373,81,209,32,834,18,113,258,27,8,128
CJ McCollum,POR,"PG,SG,Flx",36,NYK,NYK,DAL Thu 10:30PM,1210.25,28.82,99%,-0.20%,42,434,109,75,20,902,29,141,159,33,28,73
Terry Rozier,CHA,"PG,SG,Flx",37,LAL,LAL,,1195.75,26.57,99%,-0.10%,45,392,120,119,21,807,36,156,197,53,7,109
Karl-Anthony Towns,MIN,"C,Flx",38,WSH,WSH,,1191.75,44.14,100%,0%,27,233,92,134,32,716,73,221,115,25,31,81
Nikola Vucevic,ORL,"PF,C,Flx",39,IND,IND,,1182.75,34.79,99%,0%,34,312,59,76,19,647,94,284,115,33,30,45
Clint Capela,HOU,"PF,C,Flx",40,WSH,WSH,,1180.5,32.79,100%,0%,36,136,0,52,41,514,153,356,45,33,66,57
Buddy Hield,SAC,"SG,Flx",41,MIA,MIA,,1176.25,26.73,100%,0%,44,452,156,80,18,880,39,182,143,39,14,114
Jonas Valanciunas,MEM,"C,Flx",42,PHX,PHX,,1154.5,28.16,99%,0.10%,41,176,26,73,26,617,114,301,82,16,43,81
Jrue Holiday,NO,"PG,SG,SF,Flx",43,LAC,LAC,,1151.25,31.98,98%,-0.10%,36,355,75,76,29,715,46,127,226,61,27,109
Kelly Oubre Jr.,PHO,"SF,Flx",44,MIA,MIA,,1147,27.31,100%,0%,42,325,75,145,41,764,49,221,65,59,32,66
Kyle Lowry,TOR,"PG,Flx",45,LAC,LAC,,1140,34.55,98%,-0.20%,33,287,98,165,29,659,19,129,248,38,14,95
Pascal Siakam,TOR,"PF,Flx",46,BRK,BRK,,1139,34.52,100%,0%,33,350,72,121,28,775,40,213,115,32,32,84
Khris Middleton,MIL,"SG,SF,Flx",47,MIN,MIN,,1129.5,29.72,97%,0%,38,273,83,112,14,741,30,186,147,38,6,75
Bojan Bogdanovic,UTA,"SG,SF,PF,Flx",48,DEN,DEN,,1113.75,25.9,98%,0%,43,360,130,178,19,906,26,152,87,26,5,116
Kevin Love,CLE,"PF,C,Flx",49,VAN,VAN,WAS Thu 7:00PM,1105,29.86,98%,-0.10%,37,257,87,130,24,639,32,343,107,21,14,99
Ricky Rubio,PHO,"PG,Flx",50,GSW,GSW,,1102.75,29.8,98%,0%,37,254,44,94,20,492,27,146,340,50,9,99
