"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","FG-","3PTM","FTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO"
"Luka Doncic","DAL","PG,SF,Flx","1","GSW","@POR Thu 10:30PM","664.75","47.48","100%","0%","14","167.0","40","98","36","404","25","115","128","10","4","59"
"Damian Lillard","POR","PG,Flx","2","PHX","DAL Thu 10:30PM","631.25","45.09","100%","0%","14","158.0","60","104","16","428","7","50","108","13","3","34"
"Devin Booker","PHO","PG,SG,Flx","3","POR","","598","42.71","100%","0%","14","132.0","21","124","9","439","5","55","86","16","1","57"
"Nikola Jokic","DEN","PF,C,Flx","4","DEN","","591","39.4","100%","0%","15","109.0","20","68","23","348","41","108","84","15","7","51"
"LeBron James","LAL","PG,SF,PF,Flx","5","CLE","@BKN Thu 8:00PM","591","45.46","100%","0%","13","124.0","23","54","20","309","14","87","146","22","4","44"
"James Harden","HOU","PG,SG,SF,Flx","6","HOU","","585.25","48.77","100%","0%","12","155.0","47","114","27","381","16","73","86","13","15","50"
"Ben Simmons","PHI","PG,SF,Flx","7","CHA","","585","41.79","99%","0%","14","73.0","0","49","33","273","35","100","117","31","11","39"
"DeMar DeRozan","SA","SG,SF,Flx","8","DEN","","555","39.64","99%","-0.1%","14","96.0","3","91","12","360","12","73","82","18","0","33"
"Shai Gilgeous-Alexander","OKC","PG,SG,Flx","9","LAL","","552","34.5","99%","0%","16","114.0","15","71","12","336","14","111","50","27","10","25"
"Nikola Vucevic","ORL","PF,C,Flx","10","IND","","546.75","36.45","99%","0%","15","150.0","36","28","6","312","43","127","52","17","10","22"
"Rudy Gobert","UTA","C,Flx","11","ATL","","534.5","38.18","100%","+0.1%","14","42.0","0","50","30","236","52","157","28","10","28","18"
"Giannis Antetokounmpo","MIL","SF,PF,Flx","12","CHI","","532.75","44.4","100%","0%","12","109.0","17","73","43","330","16","137","66","9","8","41"
"Chris Paul","OKC","PG,Flx","13","ATL","","531.25","33.2","97%","+0.1%","16","116.0","28","49","6","301","5","91","105","25","1","40"
"Zach LaVine","CHI","PG,SG,SF,Flx","14","SEA","","526","37.57","100%","+0.1%","14","160.0","43","64","14","393","8","64","54","24","8","37"
"Brandon Ingram","NO","SG,SF,PF,Flx","15","IND","","509.5","39.19","99%","0%","13","138.0","40","85","13","345","13","60","69","14","11","42"
"Kawhi Leonard","LAC","SG,SF,Flx","16","CLE","","488","44.36","100%","0%","11","133.0","26","70","6","336","12","59","52","26","7","30"
"Hassan Whiteside","POR","C,Flx","17","MIA","DAL Thu 10:30PM","487.25","37.48","99%","0%","13","65.0","1","39","17","202","62","140","14","2","47","25"
"Jayson Tatum","BOS","SF,PF,Flx","18","IND","","476.5","31.77","100%","0%","15","138.0","33","46","9","319","11","87","45","21","13","32"
"Khris Middleton","MIL","SG,SF,Flx","19","MIN","","473.5","33.82","97%","0%","14","104.0","34","50","6","310","10","76","62","15","1","28"
"Domantas Sabonis","IND","PF,C,Flx","20","BRK","","467","35.92","100%","+0.1%","13","63.0","3","38","18","237","46","103","68","10","6","35"
"Jimmy Butler","MIA","SG,SF,Flx","21","SAS","","465.5","38.79","100%","-0.1%","12","80.0","2","107","21","241","23","74","75","15","6","24"
"Lonzo Ball","NO","PG,Flx","22","POR","","463","33.07","99%","0%","14","117.0","41","13","9","216","21","85","116","18","7","41"
"Andre Drummond","DET","PF,C,Flx","23","NOP","","461","35.46","100%","0%","13","84.0","1","47","35","204","55","137","32","31","24","47"
"Kyle Lowry","TOR","PG,Flx","24","LAC","","455.25","32.52","98%","-0.2%","14","126.0","40","64","13","266","8","42","104","16","8","38"
"LaMarcus Aldridge","SA","PF,C,Flx","25","MIA","","452.75","32.34","99%","+0.1%","14","98.0","32","45","6","273","27","80","30","8","21","18"
"Trae Young","ATL","PG,Flx","26","LAL","","450","45","100%","+0.1%","10","103.0","35","85","19","296","9","44","90","9","3","50"
"Bam Adebayo","MIA","PF,C,Flx","27","CHI","","448.5","32.04","100%","0%","14","55.0","0","39","18","225","38","103","63","8","12","36"
"Russell Westbrook","HOU","PG,Flx","28","MIL","","438.75","43.88","99%","+0.1%","10","128.0","5","48","17","291","20","66","77","17","3","40"
"DeAaron Fox","SAC","PG,Flx","29","ORL","","432.5","33.27","100%","0%","13","103.0","11","48","21","255","9","46","99","23","7","39"
"Donovan Mitchell","UTA","PG,SG,Flx","30","SAS","","429.25","33.02","100%","0%","13","117.0","37","48","5","317","8","36","62","12","2","29"
"Derrick Rose","DET","PG,SG,Flx","31","IND","","428.5","30.61","95%","+0.2%","14","117.0","15","44","7","309","7","35","82","12","4","39"
"Jonas Valanciunas","MEM","C,Flx","32","PHX","","420.5","32.35","99%","+0.1%","13","53.0","10","29","10","221","38","99","29","8","17","22"
"Gordon Hayward","BOS","SG,SF,Flx","33","BOS","","418.75","26.17","95%","-0.2%","16","104.0","24","28","2","242","17","74","66","12","8","24"
"John Collins","ATL","PF,C,Flx","34","LAC","","417.75","32.13","99%","0%","13","94.0","16","30","7","236","34","100","17","8","28","25"
"Julius Randle","NY","PF,C,Flx","35","MIN","","401.25","33.44","100%","0%","12","122.0","20","39","11","255","24","102","42","12","5","37"
"Will Barton","DEN","SG,SF,Flx","36","WSH","","390.5","27.89","92%","-0.2%","14","113.0","24","29","9","221","19","63","62","15","11","18"
"Deandre Ayton","PHO","C,Flx","37","ORL","","390.25","32.52","99%","0%","12","79.0","0","30","5","210","40","104","23","6","16","21"
