fr_position,player,fr_2019,fr_2020,fr_2021,fr_2022,fr_2023,fr_2024,fr_rfa,fr_injured,fr_gleague,fr_intl,fr_team,trade_comp,,,,,,,,,fr_team_start2019
1PG,Darius Garland,6400920,6720720,7040880,8920795,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
1PG,Isaiah Thomas,5250000,5512500,5788125,,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
1PG/2SG,Goran Dragic,8250000,8662500,,,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
2SG,Miye Oni,600000,630000,661500,,,,2022,0,1,0,ATL,ATL,,,,,,,,,ATL
3-Feb,RJ Barrett,7839960,8231760,8623920,10900635,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
PG/SG,Jordan McRae,500000,525000,,,,,,0,0,0,ATL,ATL,,,,,,,,,
3-Mar,Terance Mann,600000,630000,661500,,,,2022,0,1,0,ATL,ATL,,,,,,,,,ATL
3-Mar,Bojan Bogdanovic,8820000,9261000,,,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
3-Mar,Andre Iguodala,4410000,4630500,,,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
3-Mar,Kevin Knox,4380120,4588680,5845978,,,,2022,0,0,0,ATL,ATL,,,,,,,,,ATL
4-Mar,Jeff Green,3412500,,,,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
4-Apr,Eric Paschall,600000,630000,661500,,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
5-Apr,Taj Gibson,4685625,4919906,,,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
5-Apr,Nikola Jokic,27285000,28649250,30081712.5,31585798.1,33165088,,,0,0,0,ATL,ATL,,,,,,,,,ATL
5-May,Enes Kanter,9922500,10418625,,,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
5-May,Tristan Thompson,3307500,3472875,,,,,,0,0,0,ATL,ATL,,,,,,,,,ATL
INTL,Aleksandar Vezenkov,,,,,,,,0,0,1,ATL,ATL,,,,,,,,,ATL
INTL,Olivier Hanlan,,,,,,,,0,0,1,ATL,ATL,,,,,,,,,ATL
INTL,Chinemelu Elonu,,,,,,,,0,0,1,ATL,ATL,,,,,,,,,ATL
INTL,Devon Hall,,,,,,,,0,0,1,ATL,ATL,,,,,,,,,ATL
1-Jan,Chris Paul,37485000,39359250,41327212.5,,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
1-Jan,Lonzo Ball,8719320,11003782,,,,,2022,0,0,0,BKN,BKN,,,,,,,,,BKN
1-Jan,Raul Neto,500000,525000,551250,578812.5,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
2-Jan,Langston Galloway,500000,525000,551250,578812.5,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
2-Jan,Brandon Knight,500000,525000,551250,578812.5,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
1PG/2SG,Troy Daniels,500000,525000,551250,578813,,,,0,0,0,BKN,BKN,,,,,,,,,
2-Jan,Rodney McGruder,500000,525000,551250,578812.5,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
2SG/3SF,Thabo Sefolosha,500000,,,,,,,0,0,0,BKN,BKN,,,,,,,,,
4-Apr,Robert Williams,1937520,2029920,3661976,,,,2022,0,0,0,BKN,BKN,,,,,,,,,BKN
4-Apr,Tyler Lydon,2190720,3831569,,,,,2021,0,0,0,BKN,BKN,,,,,,,,,BKN
5-Apr,Meyers Leonard,2205000,2315250,,,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
5-Apr,Bismack Biyombo,500000,525000,551250,578812.5,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
5-Apr,Frank Kaminsky,500000,525000,551250,578812.5,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
5-Apr,Luke Kornet,500000,525000,551250,578812.5,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
5-May,Karl-Anthony Towns,27285000,28649250,30081712.5,31585798.1,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
5-May,Bol Bol,500000,500000,,,,,,0,0,0,BKN,BKN,,,,,,,,,BKN
5-May,Ante Zizic,2281800,3872215,,,,,2021,0,0,0,BKN,BKN,,,,,,,,,BKN
G,Rawle Alkins,735000,771750,,,,,2021,0,1,0,BKN,BKN,,,,,,,,,BKN
1-Jan,Trae Young,6273800,6572800,8326471,,,,2022,0,0,0,BOS,BOS,,,,,,,,,BOS
1-Jan,Ish Smith,1000000,1050000,1102500,1157625,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
1-Jan,Eric Bledsoe,15250000,16012500,16813125,17653781.25,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
1-Jan,Patrick Beverley,8000000,8400000,8820000,9261000,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
2-Feb,Terence Davis,1250000,1312500,1378125,1447031.25,,,,0,0,0,BOS,BOS,,,,,,,,,BOS
