Player,Team,Position,Rk,Status,Trade,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
James Harden,HOU,"PG,SG,SF,Flx",1,SAC,SAC,2997.5,58.77,100%,0%,51,517,"1,182",234,532,612,"1,800",55,278,374,83,49,229
LeBron James,LAL,"PG,SF,PF,Flx",2,CHA,CHA,2782,54.55,100%,0%,51,488,998,109,189,275,"1,274",51,348,551,66,22,206
Giannis Antetokounmpo,MIL,"SF,PF,C,Flx",3,ORL,ORL,2770.5,57.72,100%,0.10%,48,529,963,73,307,500,"1,438",118,528,280,52,51,176
Nikola Jokic,DEN,"PF,C,Flx",4,DEN,DEN,2713.5,49.34,100%,0%,55,440,849,68,187,231,"1,135",134,429,380,64,37,165
Damian Lillard,POR,"PG,Flx",5,SAC,SAC,2704,50.07,100%,0.10%,54,507,"1,102",212,368,414,"1,594",28,207,429,52,18,158
Andre Drummond,CLE,"PF,C,Flx",6,NYK,NYK,2514.5,49.3,100%,0%,51,373,706,3,154,265,903,238,566,142,99,85,183
Trae Young,ATL,"PG,Flx",7,BOS,BOS,2475,49.5,100%,0%,50,459,"1,035",173,392,460,"1,483",28,191,459,58,5,243
Luka Doncic,DAL,"PG,SF,Flx",8,GSW,GSW,2436,55.36,100%,0%,44,418,898,129,306,400,"1,271",62,358,381,45,7,183
Ben Simmons,PHI,"PG,SF,Flx",9,PHI,PHI,2407,45.42,99%,-0.10%,53,359,615,2,177,282,897,107,314,441,115,31,191
Anthony Davis,LAL,"PF,C,Flx",10,BOS,BOS,2349,51.07,100%,0.10%,46,428,825,49,320,375,"1,225",95,330,151,72,109,111
Domantas Sabonis,IND,"PF,C,Flx",11,ATL,ATL,2311,44.44,100%,0%,52,379,701,13,178,245,949,159,491,251,38,27,142
Hassan Whiteside,POR,"C,Flx",12,POR,POR,2282,44.75,99%,0%,51,332,542,2,137,193,803,203,515,60,21,154,98
Bam Adebayo,MIA,"PF,C,Flx",13,BOS,BOS,2272.5,42.08,100%,0%,54,334,577,1,186,273,855,140,422,266,67,63,145
Rudy Gobert,UTA,"C,Flx",14,MIN,MIN,2249.5,43.26,100%,0%,52,310,450,0,190,310,810,193,565,79,35,101,102
Russell Westbrook,HOU,"PG,Flx",15,NYK,NYK,2178.5,48.41,99%,-0.10%,45,473,"1,021",43,234,298,"1,223",74,286,324,73,16,197
Zach LaVine,CHI,"PG,SG,SF,Flx",16,HOU,HOU,2161,39.29,100%,0%,55,483,"1,077",168,258,313,"1,392",38,228,228,79,25,181
Devin Booker,PHO,"PG,SG,Flx",17,HOU,HOU,2135,41.06,100%,0%,52,463,933,101,347,377,"1,374",26,192,329,39,13,203
Chris Paul,OKC,"PG,Flx",18,BKN,BKN,2090,38.7,98%,0.10%,54,329,679,88,194,216,940,19,253,361,85,8,113
Kawhi Leonard,LAC,"SG,SF,Flx",19,POR,POR,2041.5,48.61,100%,0.10%,42,398,860,89,256,286,"1,141",43,272,222,76,29,128
Bradley Beal,WAS,"SG,Flx",20,WAS,WAS,2038,44.3,99%,-0.10%,46,459,"1,011",117,305,362,"1,340",45,158,285,48,18,148
Devonte' Graham,CHA,"PG,SG,Flx",21,UTA,UTA,2030,37.59,90%,0%,54,313,825,190,163,201,979,41,155,420,49,14,157
DeMar DeRozan,SA,"SG,SF,Flx",22,UTA,UTA,1991.5,38.3,99%,-0.10%,52,445,834,8,298,353,"1,196",33,261,270,55,12,128
Jimmy Butler,MIA,"SG,SF,Flx",23,POR,POR,1978.5,43.01,99%,-0.10%,46,284,622,28,353,422,949,85,230,281,82,25,105
Jayson Tatum,BOS,"SF,PF,Flx",24,CLE,CLE,1967.5,39.35,100%,0%,50,406,916,131,178,219,"1,121",51,296,146,69,44,109
Brandon Ingram,NO,"SG,SF,PF,Flx",25,ATL,ATL,1952.5,41.54,100%,0%,47,401,847,118,249,289,"1,169",41,259,199,45,35,140
Donovan Mitchell,UTA,"PG,SG,Flx",26,LAL,LAL,1948,36.75,100%,0%,53,477,"1,044",129,205,238,"1,288",36,193,227,59,11,143
Julius Randle,NY,"PF,C,Flx",27,NOP,NOP,1924,36.3,100%,-0.20%,53,384,844,55,200,281,"1,023",122,389,170,43,18,163
Nikola Vucevic,ORL,"PF,C,Flx",28,LAC,LAC,1918.5,43.6,99%,-0.20%,44,335,731,74,90,116,834,115,361,164,39,41,65
