Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Nikola Jokic,DEN,"PF,C,Flx",1,DEN,DEN,,821,58.64,100%,0%,14,134,249,14,65,79,347,40,118,116,26,13,55
Damian Lillard,POR,"PG,Flx",2,SAC,SAC,,760.5,63.38,100%,0.10%,12,149,299,69,88,96,455,8,59,110,11,3,40
Trae Young,ATL,"PG,Flx",3,BOS,BOS,,607.5,55.23,100%,0%,11,97,221,36,128,145,358,5,35,129,12,0,58
James Harden,HOU,"PG,SG,SF,Flx",4,SAC,SAC,,597,54.27,100%,0%,11,88,219,37,104,115,317,12,73,76,17,13,41
John Collins,ATL,"PF,C,Flx",5,DET,DET,,594.5,45.73,99%,0%,13,132,202,14,43,50,321,42,103,18,7,13,23
Bradley Beal,WAS,"SG,Flx",6,WAS,WAS,,589,49.08,99%,-0.10%,12,143,288,33,97,113,416,9,38,69,14,7,37
Domantas Sabonis,IND,"PF,C,Flx",7,ATL,ATL,,586.5,45.12,100%,0%,13,99,175,3,52,71,253,28,117,85,6,4,39
Bam Adebayo,MIA,"PF,C,Flx",8,BOS,BOS,,578,44.46,100%,0%,13,85,153,0,32,47,202,35,102,77,17,15,32
Russell Westbrook,HOU,"PG,Flx",9,NYK,NYK,,573.5,57.35,99%,-0.10%,10,143,270,4,56,67,346,21,65,73,19,4,45
LeBron James,LAL,"PG,SF,PF,Flx",10,CHA,CHA,,568,51.64,100%,0%,11,97,203,24,36,54,254,11,82,115,14,2,54
Ben Simmons,PHI,"PG,SF,Flx",11,PHI,PHI,,561.5,51.05,99%,-0.10%,11,88,138,0,68,92,244,25,74,89,27,4,50
Nikola Vucevic,ORL,"PF,C,Flx",12,LAC,LAC,,535.5,44.62,99%,-0.20%,12,100,204,20,15,22,235,28,91,58,10,12,24
Anthony Davis,LAL,"PF,C,Flx",13,BOS,BOS,,532,48.36,100%,0.10%,11,98,170,11,70,84,277,17,79,38,18,19,27
