player,gsd2_2019,gsd2_2020,gsd2_2021,gsd2_2022,gsd2_2023,gsd2_2024,gsd2_rfa,gsd2_gleague,gsd2_intl,gsd2_team,trade_comp
Henry Ellenson,"2,856,804",,,,,,"2,020",1,0,ATL,
Dillon Brooks,"1,618,520",,,,,,"2,020",1,0,ATL,
Frank Jackson,"1,618,250",,,,,,"2,020",1,0,ATL,
Cedi Osman,"500,000","500,000",,,,,,0,0,ATL,
Jarrett Allen,"2,376,840","3,909,902",,,,,"2,021",0,0,ATL,
JJ Redick,"6,000,000","6,000,000",,,,,,0,0,ATL,
Terrence Ross,"8,500,000","8,500,000","8,500,000","8,500,000",,,,0,0,ATL,
Josh Jackson,"7,059,480","8,930,242",,,,,"2,021",0,0,ATL,
Jeff Teague,"9,000,000","9,000,000","9,000,000",,,,,0,0,ATL,
Lonzo Ball,"8,719,320","11,003,782",,,,,"2,021",0,0,ATL,
Kawhi Leonard,"21,329,750",,,,,,,0,0,ATL,
Evan Turner,"5,000,000",,,,,,,0,0,ATL,
Juan Hernangomez,"3,321,030",,,,,,"2,020",0,0,ATL,
Tyson Chandler,"1,000,000",,,,,,,0,0,ATL,
Dzanan Musa,"900,000","910,000",,,,,"2,021",1,0,BOS,
Dwight Buycks,"950,000","950,000",,,,,,1,0,BOS,
Cheick Diallo,"1,544,951","1,544,951","1,544,951","1,544,951",,,,0,0,BOS,
Meyers Leonard,"2,812,500","2,812,500","2,812,500","2,812,500",,,,0,0,BOS,
Jarrett Culver,"4,054,200","4,748,000","4,974,200","6,307,285",,,"2,023",0,0,BOS,
Daniel Theis,"5,000,000","5,000,000",,,,,,0,0,BOS,
Jaxson Hayes,"4,463,700","5,227,500","5,476,500","6,983,725",,,"2,023",0,0,BOS,
Rodney Hood,"5,500,000","5,500,000","5,500,000",,,,,0,0,BOS,
Cody Zeller,"7,500,000","7,500,000","7,500,000","7,500,000",,,,0,0,BOS,
Mason Plumlee,"8,100,000","8,100,000",,,,,,0,0,BOS,
Nicolas Batum,"8,750,000","8,750,000","8,750,000","8,750,000",,,,0,0,BOS,
Kyle Anderson,"9,000,000","9,000,000","9,000,000",,,,,0,0,BOS,
John Wall,"20,000,000","20,000,000","20,000,000","20,000,000",,,,0,0,BOS,
Steven Adams,"25,842,697","27,528,090",,,,,,0,0,BOS,
Miye Oni,"620,000","650,000","660,000",,,,"2,022",1,0,CHA,
Isaac Bonga,"810,000","820,000",,,,,"2,021",1,0,CHA,
Kostas Antetokounmpo,"820,000","830,000",,,,,"2,021",1,0,CHA,
Ike Anigbogu,"1,618,520",,,,,,"2,020",1,0,CHA,
Frank Mason III,"1,618,520",,,,,,"2,020",1,0,CHA,
Dante Cunningham,"1,000,000","1,000,000","1,000,000",,,,,0,0,CHA,
Troy Daniels,"1,300,000","1,300,000",,,,,,0,0,CHA,
Chuma Okeke,"1,468,400","1,719,600","1,801,600","3,244,681",,,"2,023",0,0,CHA,
Patrick McCaw,"1,750,000","1,750,000","1,750,000",,,,,0,0,CHA,
Richaun Holmes,"2,400,780","2,400,780","2,400,780",,,,,0,0,CHA,
Greg Monroe,"3,000,000","3,000,000","3,000,000",,,,,0,0,CHA,
Davis Bertans,"7,000,000","7,000,000",,,,,,0,0,CHA,
Trey Lyles,"8,000,000","8,000,000","8,000,000","8,000,000",,,,0,0,CHA,
