Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FG-,3PTM,FTM,FT-,PTS,OREB,DREB,AST,ST,BLK,TO
James Harden,HOU,"PG,SG,SF,Flx",1,HOU,HOU,,1662.75,55.42,100%,0%,30,406,153,337,47,"1,158",30,143,223,56,22,145
Giannis Antetokounmpo,MIL,"SF,PF,Flx",2,MIA,MIA,,1503.25,50.11,100%,0%,30,264,52,189,127,929,80,307,169,39,36,110
LeBron James,LAL,"PG,SF,PF,Flx",3,SAS,SAS,,1302.75,44.92,100%,0%,29,294,64,105,50,747,29,189,308,35,16,116
Anthony Davis,LAL,"PF,C,Flx",4,NYK,NYK,,1293.75,46.21,100%,0%,28,275,31,201,34,780,71,193,91,39,75,66
Trae Young,ATL,"PG,Flx",5,CLE,CLE,,1253.5,41.78,100%,0%,30,358,104,197,35,871,15,117,255,38,2,142
Luka Doncic,DAL,"PG,SF,Flx",6,CLE,CLE,,1222.75,48.91,100%,0%,25,255,76,184,45,732,32,207,222,30,3,109
Damian Lillard,POR,"PG,Flx",7,MEM,MEM,,1177.75,40.61,100%,0%,29,307,94,192,22,772,13,108,218,29,12,86
Bradley Beal,WAS,"SG,Flx",8,SAC,SAC,,1159,39.97,99%,0%,29,359,77,183,37,820,33,110,198,32,10,100
Andre Drummond,DET,"PF,C,Flx",9,MEM,MEM,,1141,39.34,100%,0%,29,179,0,82,51,522,131,337,83,57,50,105
Joel Embiid,PHI,"PF,C,Flx",10,DAL,DAL,,1063,40.88,100%,0%,26,218,29,180,39,597,69,259,84,23,37,80
Nikola Jokic,DEN,"PF,C,Flx",11,DAL,DAL,,1054,36.34,100%,0%,29,210,36,68,15,506,63,228,199,28,18,71
Karl-Anthony Towns,MIN,"C,Flx",12,MIA,MIA,,1045,45.43,100%,0%,23,196,82,113,29,609,63,206,101,24,29,72
Devonte Graham,CHA,"PG,SG,Flx",13,WSH,WSH,,1036,31.39,90%,0%,33,320,125,110,28,637,32,91,246,27,10,98
Bam Adebayo,MIA,"PF,C,Flx",14,SAC,SAC,,1026.25,34.21,100%,0%,30,133,1,124,57,471,76,242,139,45,38,87
Russell Westbrook,HOU,"PG,Flx",15,LAL,LAL,,1025.75,37.99,99%,0%,27,315,34,136,38,646,41,174,194,43,10,120
Domantas Sabonis,IND,"PF,C,Flx",16,MEM,MEM,,1020.5,35.19,100%,0%,29,199,8,97,35,515,99,293,114,22,18,78
Zach LaVine,CHI,"PG,SG,Flx",17,SAS,SAS,,1006.25,31.45,100%,0%,32,336,98,150,31,756,24,122,123,42,14,110
Jimmy Butler,MIA,"SG,SF,Flx",18,MIL,MIL,,993.25,38.2,99%,-0.10%,26,202,24,194,41,530,50,118,172,55,16,67
Pascal Siakam,TOR,"PF,Flx",19,MEM,MEM,,985,36.48,100%,-0.10%,27,301,67,104,24,677,38,179,97,26,26,72
Ben Simmons,PHI,"PG,SF,Flx",20,IND,IND,,984.75,32.83,99%,0%,30,137,2,77,54,431,51,158,255,64,18,113
Brandon Ingram,NO,"SG,SF,PF,Flx",21,MIA,MIA,,976,36.15,99%,0%,27,256,59,135,25,676,23,169,103,23,21,79
Hassan Whiteside,POR,"C,Flx",22,TOR,TOR,,972.5,34.73,99%,-0.10%,28,117,1,72,22,435,104,274,37,13,77,57
Donovan Mitchell,UTA,"PG,SG,Flx",23,UTH,UTH,,971.75,32.39,100%,0%,30,340,64,125,24,743,25,113,120,36,9,74
Tobias Harris,PHI,"SF,PF,Flx",24,LAC,LAC,,954.5,29.83,98%,-0.10%,32,257,47,85,23,630,25,188,102,28,24,58
Rudy Gobert,UTA,"C,Flx",25,DEN,DEN,,949.5,33.91,100%,0%,28,76,0,97,61,419,103,297,42,20,54,61
Spencer Dinwiddie,BKN,"PG,SG,Flx",26,IND,IND,,938.75,32.37,98%,0%,29,284,56,163,32,657,7,76,180,25,12,78
Montrezl Harrell,LAC,"PF,C,Flx",27,MIA,MIA,,934.5,29.2,100%,0%,32,186,0,110,57,608,93,147,62,24,37,59
CJ McCollum,POR,"PG,SG,Flx",28,NOP,NOP,,930.5,30.02,99%,-0.10%,31,329,84,61,14,693,24,115,114,26,24,63
Devin Booker,PHO,"PG,SG,Flx",29,MEM,MEM,,928.75,34.4,100%,0%,27,231,55,138,14,649,19,88,172,17,8,102
Jrue Holiday,NO,"PG,SG,Flx",30,LAL,LAL,,921.75,31.78,98%,0.10%,29,297,57,58,27,571,40,108,188,48,21,92
Kawhi Leonard,LAC,"SG,SF,Flx",31,ATL,ATL,,911.75,39.64,100%,0%,23,241,39,136,20,587,25,155,117,42,14,80
DeMar DeRozan,SA,"SG,SF,Flx",32,LAC,LAC,,903.25,31.15,98%,-0.10%,29,224,5,136,31,605,16,139,142,28,12,75
Chris Paul,OKC,"PG,Flx",33,CHA,CHA,,883,30.45,97%,-0.20%,29,173,46,112,13,466,9,120,183,47,5,52
Kemba Walker,BOS,"PG,Flx",34,GSW,GSW,,876,33.69,99%,0%,26,255,97,109,15,588,21,85,140,23,15,62
LaMarcus Aldridge,SA,"PF,C,Flx",35,DEN,DEN,,860.5,31.87,99%,-0.30%,27,202,17,80,17,523,57,142,68,17,51,40
Jayson Tatum,BOS,"SF,PF,Flx",36,DAL,DAL,,858.5,31.8,100%,0%,27,293,68,92,17,584,31,161,75,37,22,58
Julius Randle,NY,"PF,C,Flx",37,TOR,TOR,,855.25,27.59,100%,-0.10%,31,247,32,121,54,555,71,197,100,22,4,89
