"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","FG-","3PTM","FTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO"
"James Harden","HOU","PG,SG,SF,Flx","1","HOU","","585.25","48.77","100%","0%","12","155.0","47","114","27","381","16","73","86","13","15","50"
"Luka Doncic","DAL","PG,SF,Flx","2","CLE","@POR Thu 10:30PM","664.75","47.48","100%","0%","14","167.0","40","98","36","404","25","115","128","10","4","59"
"LeBron James","LAL","PG,SF,PF,Flx","3","SAS","@BKN Thu 8:00PM","591","45.46","100%","0%","13","124.0","23","54","20","309","14","87","146","22","4","44"
"Damian Lillard","POR","PG,Flx","4","MEM","DAL Thu 10:30PM","631.25","45.09","100%","0%","14","158.0","60","104","16","428","7","50","108","13","3","34"
"Trae Young","ATL","PG,Flx","5","CLE","","450","45","100%","+0.1%","10","103.0","35","85","19","296","9","44","90","9","3","50"
"Giannis Antetokounmpo","MIL","SF,PF,Flx","6","MIA","","532.75","44.4","100%","0%","12","109.0","17","73","43","330","16","137","66","9","8","41"
"Kawhi Leonard","LAC","SG,SF,Flx","7","ATL","","488","44.36","100%","0%","11","133.0","26","70","6","336","12","59","52","26","7","30"
"Russell Westbrook","HOU","PG,Flx","8","LAL","","438.75","43.88","99%","+0.1%","10","128.0","5","48","17","291","20","66","77","17","3","40"
"Devin Booker","PHO","PG,SG,Flx","9","MEM","","598","42.71","100%","0%","14","132.0","21","124","9","439","5","55","86","16","1","57"
"Ben Simmons","PHI","PG,SF,Flx","10","IND","","585","41.79","99%","0%","14","73.0","0","49","33","273","35","100","117","31","11","39"
"Joel Embiid","PHI","PF,C,Flx","11","DAL","","206","41.2","100%","0%","5","48.0","9","31","2","128","10","44","18","2","5","13"
"Anthony Davis","LAL","PF,C,Flx","12","NYK","@BKN Thu 8:00PM","368","40.89","100%","0%","9","61.0","8","65","7","205","9","65","29","17","19","21"
"DeMar DeRozan","SA","SG,SF,Flx","13","CLE","","555","39.64","99%","-0.1%","14","96.0","3","91","12","360","12","73","82","18","0","33"
"Nikola Jokic","DEN","PF,C,Flx","14","DAL","","591","39.4","100%","0%","15","109.0","20","68","23","348","41","108","84","15","7","51"
"Brandon Ingram","NO","SG,SF,PF,Flx","15","MIA","","509.5","39.19","99%","0%","13","138.0","40","85","13","345","13","60","69","14","11","42"
"Jimmy Butler","MIA","SG,SF,Flx","16","MIL","","465.5","38.79","100%","-0.1%","12","80.0","2","107","21","241","23","74","75","15","6","24"
"Rudy Gobert","UTA","C,Flx","17","DEN","","534.5","38.18","100%","+0.1%","14","42.0","0","50","30","236","52","157","28","10","28","18"
"Zach LaVine","CHI","PG,SG,SF,Flx","18","SAS","","526","37.57","100%","+0.1%","14","160.0","43","64","14","393","8","64","54","24","8","37"
"Hassan Whiteside","POR","C,Flx","19","TOR","DAL Thu 10:30PM","487.25","37.48","99%","0%","13","65.0","1","39","17","202","62","140","14","2","47","25"
"Karl-Anthony Towns","MIN","C,Flx","20","MIA","","146.75","36.69","100%","0%","4","37.0","10","21","3","107","10","15","14","1","2","9"
"Nikola Vucevic","ORL","PF,C,Flx","21","HOU","","546.75","36.45","99%","0%","15","150.0","36","28","6","312","43","127","52","17","10","22"
"DAngelo Russell","GS","PG,SG,Flx","22","OKC","","323.5","35.94","99%","-0.1%","9","111.0","36","31","5","231","5","33","61","7","1","25"
"Domantas Sabonis","IND","PF,C,Flx","23","MEM","","467","35.92","100%","+0.1%","13","63.0","3","38","18","237","46","103","68","10","6","35"
"Kyrie Irving","BKN","PG,SG,Flx","24","SAC","LAL Thu 8:00PM","143.5","35.88","99%","+0.1%","4","32.0","7","9","2","84","6","15","24","9","2","7"
"Andre Drummond","DET","PF,C,Flx","25","MEM","","461","35.46","100%","0%","13","84.0","1","47","35","204","55","137","32","31","24","47"
"Shai Gilgeous-Alexander","OKC","PG,SG,Flx","26","WSH","","552","34.5","99%","0%","16","114.0","15","71","12","336","14","111","50","27","10","25"
"Khris Middleton","MIL","SG,SF,Flx","27","IND","","473.5","33.82","97%","0%","14","104.0","34","50","6","310","10","76","62","15","1","28"
"Fred VanVleet","TOR","PG,SG,Flx","28","UTH","","301.75","33.53","99%","+0.1%","9","87.0","33","23","9","184","6","28","55","18","7","19"
"Julius Randle","NY","PF,C,Flx","29","TOR","","401.25","33.44","100%","0%","12","122.0","20","39","11","255","24","102","42","12","5","37"
"DeAaron Fox","SAC","PG,Flx","30","NYK","","432.5","33.27","100%","0%","13","103.0","11","48","21","255","9","46","99","23","7","39"
