ld_position,player,ld_2019,ld_2020,ld_2021,ld_2022,ld_2023,ld_2024,ld_rfa,ld_gleague,ld_intl,ld_team,trade_comp,ld_team_start2019
1/1,Jevon Carter,1416852,,,,,,2020,0,0,ATL,ATL,ATL
2/2,Grayson Allen,2429400,2545320,4054695,,,,2022,0,0,ATL,ATL,ATL
2/3,Kyle Korver,1378125,1447031,1519383,,,,,0,0,ATL,ATL,ATL
2/3,Brandon Ingram,7265485,,,,,,2020,0,0,ATL,ATL,ATL
3/3,Mindaugas Kuzminskas,2315250,2431013,,,,,,0,1,ATL,ATL,ATL
3/4,Jared Dudley,826875,868219,911630,,,,,0,0,ATL,ATL,ATL
3/4,Juan Hernangomez,3321030,,,,,,2020,0,0,ATL,ATL,ATL
4/4,Bobby Portis,14550000,15641250,16814344,,,,,0,0,ATL,ATL,ATL
4/4,Cam Oliver,,,,,,,,1,0,ATL,ATL,ATL
4/5,Daniel Theis,826875,,,,,,,0,0,ATL,ATL,ATL
4/5,Alan Williams,5520000,,,,,,,0,0,ATL,ATL,ATL
5/5,Robert Williams,1937520,2029920,3661976,,,,2022,0,0,ATL,ATL,ATL
5/5,Chimezie Metu,1416852,1663861,,,,,2021,1,0,ATL,ATL,ATL
1/1,Ricky Rubio,"18,500,000","19,425,000","20,396,250","21,416,063",,,,0,0,BKN,BKN,BKN
1/1,Emmanuel Mudiay,"3,000,000",,,,,,,0,0,BKN,BKN,BKN
1/1,John Wall,20600000,22145000,23805875,,,,,0,0,BKN,BKN,BKN
2/3,Wesley Matthews,1050000,1102500,,,,,,0,0,BKN,BKN,BKN
2/3,Terrance Ferguson,2475840,3944013,,,,,2021,0,0,BKN,BKN,BKN
2/3,Jeremy Lamb,10500000,10500000,10500000,,,,,0,0,BKN,BKN,BKN
3/3,Arnoldas Kulboka,,,,,,,,0,1,BKN,BKN,BKN
3/4,Kevin Durant,23000000,24725000,26579375,,,,,0,0,BKN,BKN,BKN
4/5,Richaun Holmes,"2,000,000",,,,,,,0,0,BKN,BKN,BKN
5/5,Tyson Chandler,"1,000,000",,,,,,,0,0,BKN,BKN,BKN
5/5,Brook Lopez,"12,093,024","12,697,675","13,302,325","13,906,976",,,,0,0,BKN,BKN,BKN
1/1,Rajon Rondo,7350000,,,,,,,0,0,BOS,BOS,BOS
1/2,Marcus Smart,13125000,13781250,,,,,,0,0,BOS,BOS,BOS
2/2,Caris LeVert,2625718,,,,,,2020,0,0,BOS,BOS,BOS
2/3,Andrew Wiggins,14405000,15485375,,,,,,0,0,BOS,BOS,BOS
3/4,Kyle Kuzma,1974600,3562178,,,,,2021,0,0,BOS,BOS,BOS
3/4,OG Anunoby,2281800,3872215,,,,,2021,0,0,BOS,BOS,BOS
4/4,Marvin Williams,2756250,2894063,3038766,,,,,0,0,BOS,BOS,BOS
4/4,Serge Ibaka,17218813,,,,,,,0,0,BOS,BOS,BOS
4/4,Nemanja Bjelica,2480625,2604656,2734889,,,,,0,0,BOS,BOS,BOS
5/5,Jakob Poeltl,3754886,,,,,,2020,0,0,BOS,BOS,BOS
5/5,Marc Gasol,"21,500,000","22,575,000","23,703,750",,,,,0,0,BOS,BOS,BOS
1/1,Michael Carter-Williams,1000000,,,,,,,0,0,CHA,CHA,CHA
1/2,Seth Curry,"4,250,000","4,462,500","4,685,625","4,919,906",,,,0,0,CHA,CHA,CHA
2/3,Justin Holiday,2480625,2604656,2734889,,,,,0,0,CHA,CHA,CHA
2/3,Dion Waiters,9922500,10418625,10939556,,,,,0,0,CHA,CHA,CHA
3/3,Kenrich Williams,787500,826875,868219,,,,,0,0,CHA,CHA,CHA
3/3,Dzanan Musa,1911600,2002800,3615054,,,,2022,1,0,CHA,CHA,CHA
4/5,Paul Millsap,18375000,19293750,,,,,,0,0,CHA,CHA,CHA
4/5,Jordan Bell,10000000,10500000,11025000,,,,,0,0,CHA,CHA,CHA
5/5,Willie Cauley-Stein,15000000,15750000,16537500,,,,,0,0,CHA,CHA,CHA
1/1,Jalen Brunson,1416852,1663861,1802057,,,,2022,0,0,CHI,CHI,CHI
1/1,Dante Exum,"1,000,000","1,050,000","1,102,500","1,157,625",,,,0,0,CHI,CHI,CHI
1/1,DaQuan Jeffries,"898,310",,,,,,,0,0,CHI,CHI,CHI
2/2,Buddy Hield,4861208,,,,,,2020,1,0,CHI,CHI,CHI
2/3,Troy Brown Jr.,3219480,3372840,5170564,,,,2022,0,0,CHI,CHI,CHI
3/3,Micheal Kidd-Gilchrist,"1,000,000","1,050,000","1,102,500","1,157,625",,,,0,0,CHI,CHI,CHI
3/3,Derrick Jones Jr. ,525000,551250,578813,,,,,0,0,CHI,CHI,CHI
3/3,Semi Ojeleye,1618520,1752950,,,,,,1,0,CHI,CHI,CHI
3/4,Jerami Grant,2756250,2894063,3038766,,,,,0,0,CHI,CHI,CHI
4/1,Justise Winslow,18250000,19162500,20120625,,,,,0,0,CHI,CHI,CHI
4/4,Zion Williamson,"9,757,440","10,245,480","10,733,400","13,534,817",,,2023,1,0,CHI,CHI,CHI
4/5,DeMarcus Cousins,29347500,31548563,,,,,,0,0,CHI,CHI,CHI
5/5,Ante Zizic,2281800,3872215,,,,,2021,0,0,CHI,CHI,CHI
5/5,Jusuf Nurkic,18900000,19845000,,,,,,0,0,CHI,CHI,CHI
1/1,Reggie Jackson,"8,500,000","8,925,000","9,371,250","9,839,813",,,,0,0,CLE,CLE,CLE
1/1,Landry Shamet,1995120,2090040,3768342,,,,2022,0,0,CLE,CLE,CLE
1/1,Trey Burke,3307500,3472875,3646519,,,,,0,0,CLE,CLE,CLE
1/1,DJ Augustin,5775000,,,,,,,0,0,CLE,CLE,CLE
1/1,Damian Lillard,22650000,24348750,26174906,,,,,0,0,CLE,CLE,CLE
2/2,Hamidou Diallo,1416852,1663861,,,,,2021,0,0,CLE,CLE,CLE
2/3,Marco Belinelli,551250,,,,,,,0,0,CLE,CLE,CLE
2/3,Sterling Brown,1618520,,,,,,2020,0,0,CLE,CLE,CLE
3/3,Trevor Ariza,"7,250,000",,,,,,,0,0,CLE,CLE,CLE
3/3,Rudy Gay,"11,250,000",,,,,,,0,0,CLE,CLE,CLE
4/5,Jaren Jackson Jr.,6927480,7257360,9180560,,,,2022,0,0,CLE,CLE,CLE
4/5,Taj Gibson,"3,250,000",,,,,,,0,0,CLE,CLE,CLE
1/1,Fred VanVleet,551250,,,,,,,0,0,DAL,DAL,DAL
1/2,Tomas Satoransky,6825000,,,,,,,0,0,DAL,DAL,NYK
2/2,Malik Monk,4028400,5345687,,,,,2021,0,0,DAL,DAL,DAL
2/3,Kent Bazemore,9450000,,,,,,,0,0,DAL,DAL,DAL
3/3,Vincent Edwards,,,,,,,,1,0,DAL,DAL,DAL
3/4,Jeff Green,1050000,,,,,,,0,0,DAL,DAL,DAL
3/4,Giannis Antetokounmpo,25842697,27528090,,,,,,0,0,DAL,DAL,DAL
4/4,Naz Reid,"898,310","1,517,981","1,782,621","1,930,681",,,,1,0,DAL,DAL,DAL
4/5,Derrick Favors,"21,750,000","22,837,500","23,979,375","25,178,344",,,,0,0,DAL,DAL,DAL
4/5,Draymond Green,,,,,,,,0,0,DAL,DAL,DAL
4/5,Mason Plumlee,5236875,,,,,,,0,0,DAL,DAL,DAL
4/5,Dwight Howard,6825000,7166250,,,,,,0,0,DAL,DAL,DAL
4/5,Alex Len,12127500,,,,,,,0,0,DAL,DAL,DEN
5/5,Tryggvi Hlinason,,,,,,,,0,1,DAL,DAL,DAL
5/5,Dwight Powell,551250,,,,,,,0,0,DAL,DAL,DAL
1/1,Isiah Briscoe,1050000,1102500,,,,,,0,0,DEN,DEN,DEN
1/1,Dennis Schroder,15500000,15500000,,,,,,0,0,DEN,DEN,DEN
1/1,Devon Hall,,,,,,,,0,1,DEN,DEN,DEN
1/2,Jamal Murray,4444746,,,,,,2020,0,0,DEN,DEN,DEN
2/2,Shake Milton,2000000,2100000,2205000,,,,,0,0,DEN,DEN,DEN
2/2,Malik Beasley,2731714,,,,,,2020,0,0,DEN,DEN,DEN
2/3,Denzel Valentine,3377569,,,,,,2020,0,0,DEN,DEN,DEN
3/2,Wesley Iwundu,1618520,,,,,,2020,0,0,DEN,DEN,DEN
4/4,Tyler Lydon,2190720,3831569,,,,,2021,0,0,DEN,DEN,DEN
4/4,Marvin Bagley III,8567040,8975040,11326500,,,,2022,1,0,DEN,DEN,DEN
5/5,Tony Bradley,1962360,3542060,,,,,2021,0,0,DEN,DEN,DEN
1/1,Shabazz Napier,"3,000,000","3,150,000",,,,,,0,0,DET,DET,DET
1/1,Aaron Holiday,2239200,2345640,3980551,,,,2022,0,0,DET,DET,DET
1/1,Russell Westbrook,36286625,,,,,,,0,0,DET,DET,DET
2/2,Anfernee Simons,2149560,2252040,3938818,,,,2022,0,0,DET,DET,DET
2/2,Kevin Huerter,2636280,2761920,4253357,,,,2022,0,0,DET,DET,DET
2/3,Jimmy Butler,18450000,19833750,21321281,,,,,0,0,DET,DET,DET
2/3,Evan Fournier,"11,000,000","11,550,000","12,127,500","12,733,875",,,,0,0,DET,DET,DET
3/4,Carmelo Anthony,525000,,,,,,,0,0,DET,DET,DET
4/5,Thomas Bryant,1575000,1653750,1736438,,,,,0,0,DET,DET,DET
4/5,Cody Zeller,8400000,,,,,,,0,0,DET,DET,DET
4/5,Kevin Love,17850000,19188750,20627906,,,,,0,0,DET,DET,DET
1/1,Quinn Cook,2205000,2315250,,,,,,0,0,GSW,GSW,GSW
1/1,Trevon Bluiett,,,,,,,,1,0,GSW,GSW,GSW
1/2,Stephen Curry,25423750,27330531,,,,,,0,0,GSW,GSW,GSW
2/2,Jerome Robinson,3567720,3737520,5340916,,,,2022,0,0,GSW,GSW,GSW
2/2,Tyler Dorsey,,,,,,,,0,0,GSW,GSW,GSW
2/2,Bradley Beal,,,,,,,,0,0,GSW,GSW,GSW
2/3,Kyle Anderson,2205000,2315250,2431013,,,,,0,0,GSW,GSW,GSW
2/3,Yuta Watanabe,,,,,,,,1,0,GSW,GSW,GSW
2/4,Jake Layman,"2,750,000","2,887,500","3,031,875","3,183,469",,,,0,0,GSW,GSW,GSW
3/3,Justin Anderson,525000,551250,578813,,,,,0,0,GSW,GSW,GSW
3/3,DeAndre' Bembry,2603982,,,,,,2020,0,0,GSW,GSW,GSW
4/5,Luke Kornet,1050000,,,,,,,0,0,GSW,GSW,GSW
4/5,Moritz Wagner,2063520,2161920,3983618,,,,2022,0,0,GSW,GSW,GSW
4/5,Kristaps Porzingis,18500000,19887500,21379063,,,,,0,0,GSW,GSW,GSW
1/1,Lonzo Ball,8719320,11003782,,,,,2021,0,0,HOU,HOU,HOU
1/1,Eric Bledsoe,"20,000,000","21,000,000","22,050,000","23,152,500",,,,0,0,HOU,HOU,HOU
2/2,Gary Trent,1416852,1663861,,,,,2021,0,0,HOU,HOU,HOU
2/2,Khyri Thomas,1416852,1663861,,,,,2021,0,0,HOU,HOU,HOU
2/2,Donte DiVincenzo,2905800,3044160,4675830,,,,2022,0,0,HOU,HOU,HOU
3/3,Cody Martin,"1,173,310","1,517,981","1,782,621",,,,,0,0,HOU,HOU,HOU
3/3,KZ Okpala,"898,310","1,517,981","1,782,621",,,,,1,0,HOU,HOU,HOU
3/3,Admiral Schofield,"1,000,000","1,517,981","1,782,621",,,,,1,0,HOU,HOU,HOU
3/3,Jarred Vanderbilt,1416852,1663861,,,,,2021,0,0,HOU,HOU,HOU
3/4,Kevin Knox,4380120,4588680,5845978,,,,2022,0,0,HOU,HOU,HOU
4/4,Omari Spellman,1897800,1988280,3588845,,,,2022,0,0,HOU,HOU,HOU
