"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","FGM","FGA","3PTM","FTM","FTA","PTS","OREB","DREB","AST","ST","BLK","TO"
"James Harden","HOU","PG,SG,G,SF,Flx","1","NOP","@SAC Mon 10:00PM","1778","61.31","100%","+0.1%","29","324","721","149","327","372","1,124","30","138","218","54","21","142"
"Giannis Antetokounmpo","MIL","SF,PF,Flx","2","IND","","1758","58.6","100%","-0.1%","30","344","608","52","189","316","929","80","307","169","39","36","110"
"LeBron James","LAL","PG,G,SF,PF,Flx","3","LAL","","1583","54.59","100%","+0.1%","29","289","583","64","105","155","747","29","189","308","35","16","116"
"Anthony Davis","LAL","PF,C,Flx","4","MIL","","1472","52.57","100%","0%","28","274","549","31","201","235","780","71","193","91","39","75","66"
"Andre Drummond","DET","PF,C,Flx","5","NOP","PHI Mon 7:00PM","1430.5","51.09","100%","0%","28","207","383","0","81","131","495","128","331","80","56","50","104"
"Luka Doncic","DAL","PG,G,SF,Flx","6","LAC","","1427.5","57.1","100%","+0.1%","25","236","491","76","184","229","732","32","207","222","30","3","109"
"Trae Young","ATL","PG,G,Flx","7","PHX","@CLE Mon 7:00PM","1371.5","47.29","100%","+0.1%","29","276","622","99","190","223","841","15","111","244","34","2","137"
"Damian Lillard","POR","PG,G,Flx","8","CLV","NO Mon 10:00PM","1300","46.43","100%","0%","28","237","529","94","186","208","754","13","105","211","27","12","83"
"Bradley Beal","WAS","SG,G,Flx","9","GSW","@NY Mon 7:00PM","1274.5","45.52","99%","+0.4%","28","267","601","75","181","216","790","30","109","195","30","8","97"
"Nikola Jokic","DEN","PF,C,Flx","10","MIN","@PHO Mon 9:00PM","1270.5","45.38","100%","0%","28","195","398","32","62","77","484","62","217","189","27","18","69"
"Karl-Anthony Towns","MIN","C,Flx","11","NOP","@GS Mon 10:30PM","1261.5","54.85","100%","0%","23","207","403","82","113","142","609","63","206","101","24","29","72"
"Devonte Graham","CHA","PG,SG,G,Flx","12","SAS","","1261","38.21","89%","+0.8%","33","201","521","125","110","138","637","32","91","246","27","10","98"
"Domantas Sabonis","IND","PF,C,Flx","13","UTA","TOR Mon 7:00PM","1240","44.29","100%","0%","28","200","390","8","95","125","503","94","281","111","22","17","75"
"Bam Adebayo","MIA","PF,C,Flx","14","POR","UTA Mon 7:30PM","1204","41.52","100%","+0.2%","29","168","292","1","116","171","453","71","235","133","42","35","86"
"Joel Embiid","PHI","PF,C,Flx","15","LAC","@DET Mon 7:00PM","1197","47.88","100%","+0.1%","25","187","403","28","175","213","577","66","254","81","22","34","77"
"Ben Simmons","PHI","PG,G,SF,Flx","16","PHX","@DET Mon 7:00PM","1186","40.9","99%","+0.4%","29","168","299","2","77","131","415","45","151","238","64","18","109"
"Russell Westbrook","HOU","PG,G,Flx","17","DET","@SAC Mon 10:00PM","1182","45.46","99%","0%","26","228","531","31","131","168","618","41","167","188","42","10","117"
"Hassan Whiteside","POR","C,Flx","18","POR","NO Mon 10:00PM","1169.5","43.31","99%","+0.2%","27","176","288","1","71","92","424","100","262","35","12","73","54"
"Pascal Siakam","TOR","PF,Flx","19","POR","@IND Mon 7:00PM","1166","43.19","100%","-0.1%","27","253","554","67","104","128","677","38","179","97","26","26","72"
"Zach LaVine","CHI","PG,SG,G,Flx","20","DAL","@ORL Mon 7:00PM","1125.5","36.31","100%","-0.1%","31","246","564","95","143","174","730","23","115","121","41","13","105"
"Rudy Gobert","UTA","C,Flx","21","UTA","@MIA Mon 7:30PM","1119","41.44","100%","0%","27","152","226","0","97","157","401","97","283","42","20","49","60"
"Jrue Holiday","NO","PG,SG,G,Flx","22","WAS","@POR Mon 10:00PM","1113","39.75","98%","+0.6%","28","221","504","53","55","82","550","39","103","183","47","21","90"
"Jimmy Butler","MIA","SG,G,SF,Flx","23","DET","UTA Mon 7:30PM","1106.5","44.26","100%","-0.1%","25","149","343","24","188","228","510","46","114","170","53","16","66"
"Donovan Mitchell","UTA","PG,SG,G,Flx","24","MIA","@MIA Mon 7:30PM","1083.5","37.36","100%","+0.1%","29","272","599","63","123","145","730","25","110","113","33","9","70"
"Montrezl Harrell","LAC","PF,C,Flx","25","PHI","","1082","33.81","100%","+0.1%","32","249","435","0","110","167","608","93","147","62","24","37","59"
"CJ McCollum","POR","PG,SG,G,Flx","26","PHI","NO Mon 10:00PM","1079","35.97","99%","-0.3%","30","265","581","82","61","75","673","24","111","111","25","24","63"
"Tobias Harris","PHI","SF,PF,Flx","27","MIA","@DET Mon 7:00PM","1076","34.71","98%","+0.1%","31","235","485","43","82","105","595","24","182","99","26","24","58"
"Brandon Ingram","NO","SG,G,SF,PF,Flx","28","ATL","@POR Mon 10:00PM","1074","41.31","99%","+0.2%","26","235","479","57","130","155","657","23","158","98","21","21","77"
"Clint Capela","HOU","PF,C,Flx","29","UTA","@SAC Mon 10:00PM","1063.5","42.54","100%","+0.2%","25","160","243","0","29","65","349","101","263","30","23","48","42"
"Kawhi Leonard","LAC","SG,G,SF,Flx","30","CHI","","1062","46.17","100%","+0.2%","23","206","447","39","136","156","587","25","155","117","42","14","80"
"Chris Paul","OKC","PG,G,Flx","31","WAS","","1054.5","36.36","97%","+0.1%","29","154","327","46","112","125","466","9","120","183","47","5","52"
"Kristaps Porzingis","DAL","PF,C,Flx","32","GSW","","1045.5","37.34","99%","+0.5%","28","176","435","58","83","114","493","53","216","39","16","60","43"
"Terry Rozier","CHA","PG,SG,G,Flx","33","ATL","","1043.5","31.62","98%","+0.1%","33","204","497","83","80","95","571","28","122","139","41","7","86"
"Spencer Dinwiddie","BKN","PG,SG,G,Flx","34","OKC","","1041.5","35.91","98%","-0.1%","29","219","503","56","163","195","657","7","76","180","25","12","78"
"Jayson Tatum","BOS","SF,PF,Flx","35","LAC","","1031.5","38.2","100%","+0.2%","27","212","505","68","92","109","584","31","161","75","37","22","58"
"Kemba Walker","BOS","PG,G,Flx","36","MIL","","1025","39.42","99%","-0.1%","26","191","446","97","109","124","588","21","85","140","23","15","62"
"Devin Booker","PHO","PG,SG,G,Flx","37","PHX","DEN Mon 9:00PM","1024","39.38","100%","-0.1%","26","225","447","54","134","148","638","18","86","166","16","8","100"
"Malcolm Brogdon","IND","PG,SG,G,Flx","38","PHI","TOR Mon 7:00PM","984","37.85","99%","+0.1%","26","171","378","37","98","105","477","17","101","198","23","5","71"
"Jarrett Allen","BKN","PF,C,Flx","39","ORL","","982","33.86","99%","+0.2%","29","141","213","0","75","122","357","105","201","39","21","40","34"
"Julius Randle","NY","PF,C,Flx","40","MIL","WAS Mon 7:00PM","972","32.4","100%","-0.2%","30","190","427","28","112","166","520","69","194","98","20","3","86"
"Buddy Hield","SAC","SG,G,Flx","41","WAS","HOU Mon 10:00PM","962.5","33.19","100%","+0.1%","29","221","527","109","47","56","598","28","121","84","25","9","73"
"DeMar DeRozan","SA","SG,G,SF,Flx","42","SAS","@MEM Mon 8:00PM","961","34.32","98%","-0.4%","28","222","445","5","130","161","579","16","136","132","25","12","73"
"Lou Williams","LAC","PG,SG,G,Flx","43","WAS","","952","31.73","100%","+0.2%","30","194","464","54","144","170","586","12","78","184","18","4","91"
"Tristan Thompson","CLE","PF,C,Flx","44","DAL","ATL Mon 7:00PM","950","33.93","94%","-0.3%","28","161","311","3","45","82","370","116","165","66","22","29","50"
"LaMarcus Aldridge","SA","PF,C,Flx","45","IND","@MEM Mon 8:00PM","945.5","36.37","99%","+0.1%","26","196","390","14","77","93","483","54","136","63","17","48","39"
