player,ld_team,fr_team,ht_fpts,hta_fpts,bbr_fpts,ht_frval19,hta_frval19,bbr_frval19,ht_ldval19,hta_ldval19,bbr_ldval19
Aaron Gordon,LAC,SAC,34.24999999999999,33.087,33.85,1.2791783380018672e-6,1.2791783380018672e-6,1.2791783380018672e-6,1.8686489804269245e-6,1.8686489804269245e-6,1.8686489804269245e-6
Aaron Holiday,DET,ORL,17.949999999999996,20.453,11.400000000000002,8.016255805644871e-6,8.016255805644871e-6,8.016255805644871e-6,8.016255805644871e-6,8.016255805644871e-6,8.016255805644871e-6
Abdel Nader,NA,UTA,7.250000000000001,10.785999999999998,7.700000000000001,1.3809523809523811e-5,1.3809523809523811e-5,1.3809523809523811e-5,NA,NA,NA
Al Horford,NA,NA,34.00000000000001,34.708999999999996,35.45000000000001,NA,NA,NA,NA,NA,NA
Al-Farouq Aminu,OKC,NA,21.05,22.254,25,NA,NA,NA,2.8639455782312927e-6,2.8639455782312927e-6,2.8639455782312927e-6
Alan Williams,ATL,NA,NA,NA,10.299999999999999,NA,NA,NA,NA,NA,NA
Alec Burks,NA,SAS,16.300000000000004,17.546,18.250000000000004,9.856386999244144e-6,9.856386999244144e-6,9.856386999244144e-6,NA,NA,NA
Alex Abrines,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA
Alex Caruso,NA,NA,11.95,8.632,20.15,NA,NA,NA,NA,NA,NA
Alex Len,DEN,POR,29.999999999999993,19.915999999999993,22.6,6.402561024409763e-6,6.402561024409763e-6,6.402561024409763e-6,2.4737167594310445e-6,2.4737167594310445e-6,2.4737167594310445e-6
Alex Poythress,NA,NA,NA,NA,12.85,NA,NA,NA,NA,NA,NA
Alfonzo McKinnie,NA,NA,22.750000000000004,18.505,11.350000000000001,NA,NA,NA,NA,NA,NA
Alize Johnson,NA,NA,6.699999999999999,NA,3.5000000000000004,NA,NA,NA,NA,NA,NA
Allen Crabbe,NA,HOU,14.100000000000001,19.002,17.400000000000002,3.497132227561619e-6,3.497132227561619e-6,3.497132227561619e-6,NA,NA,NA
